p3, average minority fraction, variance
0.0, 0.0, 0.0
0.005263157894736842, 0.0, 0.0
0.010526315789473684, 0.0, 0.0
0.015789473684210527, 0.0, 0.0
0.021052631578947368, 0.0, 0.0
0.02631578947368421, 0.0, 0.0
0.031578947368421054, 0.0, 0.0
0.03684210526315789, 0.0, 0.0
0.042105263157894736, 0.0, 0.0
0.04736842105263158, 0.0, 0.0
0.05263157894736842, 0.0416768267223382, 0.00033820203084888926
0.05789473684210526, 0.046913569937369524, 0.00024237073443717557
0.06315789473684211, 0.05332526096033403, 0.00020398731595486422
0.06842105263157895, 0.05672651356993737, 0.00027603368116422086
0.07368421052631578, 0.06252025052192066, 0.00024203981956145588
0.07894736842105263, 0.06845511482254699, 0.00017064848636468634
0.08421052631578947, 0.07270814196242172, 0.00013080074790469012
0.08947368421052632, 0.07894196242171189, 0.0001415828529338697
0.09473684210526316, 0.0848509394572025, 0.00018173034880426776
0.1, 0.08986638830897703, 0.0001733099140955627
